Order ID,Order Date,Origin Port,Carrier,TPT,Service Level,Ship ahead day count_x,Ship Late Day count_x,Customer,Product ID,Plant Code,Destination Port,Unit quantity,Weight,Ship ahead day count_y,Ship Late Day count_y,Cluster
1447179937.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1690630,PLANT03,PORT09,309,0.4361361731525621,0,0,1
1447158687.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1690630,PLANT03,PORT09,346,1.3084085194576862,0,0,1
1447383118.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1690627,PLANT03,PORT09,474,7.683677098335615,0,0,1
1447219816.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1690627,PLANT03,PORT09,321,0.38418385491678075,0,0,1
1447339090.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1690627,PLANT03,PORT09,340,1.9209192745839037,0,0,1
1447360898.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1690627,PLANT03,PORT09,381,3.073470839334246,0,0,1
1447179936.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1690627,PLANT03,PORT09,268,0.38418385491678075,0,0,1
1447158686.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1690627,PLANT03,PORT09,298,0.38418385491678075,0,0,1
1447144468.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1690627,PLANT03,PORT09,307,1.9209192745839037,0,0,1
1447383143.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1690628,PLANT03,PORT09,255,0.6924017705672101,0,0,1
1447144470.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1690628,PLANT03,PORT09,348,1.731004426418025,0,0,1
1447179938.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1690628,PLANT03,PORT09,288,0.34620088528360504,0,0,1
1447158688.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1690628,PLANT03,PORT09,257,0.34620088528360504,0,0,1
1447383119.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1690628,PLANT03,PORT09,394,2.7696070822688403,0,0,1
1447339092.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1690628,PLANT03,PORT09,338,1.3848035411344202,0,0,1
1447317257.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1683424,PLANT03,PORT09,300,0.351576777716092,0,0,1
1447187131.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1683424,PLANT03,PORT09,318,2.0,0,0,1
1447200802.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1683424,PLANT03,PORT09,275,1.98,0,0,1
1447383120.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1683405,PLANT03,PORT09,334,2.619789473684211,0,0,1
1447144477.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682730,PLANT03,PORT09,282,0.5227026260990892,0,0,1
1447296432.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682730,PLANT03,PORT09,257,2.613513130495446,0,0,1
1447200809.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682730,PLANT03,PORT09,334,0.5227026260990892,0,0,1
1447158697.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682730,PLANT03,PORT09,343,2.8748644435449906,0,0,1
1447219817.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1683426,PLANT03,PORT09,327,1.8064187171916073,0,0,1
1447179950.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682772,PLANT03,PORT09,275,0.1940346534653466,0,0,1
1447383123.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682709,PLANT03,PORT09,334,0.7741806286544356,0,0,1
1447383117.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1683401,PLANT03,PORT09,334,3.865479075845648,0,0,1
1447179940.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1683392,PLANT03,PORT09,321,1.7065799992661388,0,0,1
1447383122.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1683392,PLANT03,PORT09,407,8.981999996137572,0,0,1
1447158690.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1683392,PLANT03,PORT09,307,0.08981999996137573,0,0,1
1447144472.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1683392,PLANT03,PORT09,314,0.17963999992275145,0,0,1
1447219819.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1683392,PLANT03,PORT09,331,4.490999998068786,0,0,1
1447383137.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682736,PLANT03,PORT09,309,2.7649264705882355,0,0,1
1447383132.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682736,PLANT03,PORT09,308,4.459558823529412,0,0,1
1447383135.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682736,PLANT03,PORT09,281,1.783823529411765,0,0,1
1447179951.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682736,PLANT03,PORT09,449,11.70294117647059,0,0,1
1447383134.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682736,PLANT03,PORT09,295,4.459558823529412,0,0,1
1447317264.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682736,PLANT03,PORT09,259,0.9811029411764707,0,0,1
1447158698.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682736,PLANT03,PORT09,720,37.6764705882353,0,0,1
1447383133.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682736,PLANT03,PORT09,367,4.459558823529412,0,0,1
1447360905.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682736,PLANT03,PORT09,287,2.6757352941176475,0,0,1
1447383136.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682736,PLANT03,PORT09,279,1.783823529411765,0,0,1
1447296433.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682736,PLANT03,PORT09,331,0.8919117647058825,0,0,1
1447179954.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682832,PLANT03,PORT09,485,17.806450367323496,0,0,1
1447360907.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682832,PLANT03,PORT09,340,8.903225183661748,0,0,1
1447144478.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682832,PLANT03,PORT09,488,17.806450367323496,0,0,1
1447317266.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682832,PLANT03,PORT09,360,8.903225183661748,0,0,1
1447200811.7,2013-05-26,PORT04,V444_1,1,DTD,0,0,V555555555555555555_45,1682832,PLANT03,PORT09,378,8.903225183661748,0,0,1
